Student_Name,Semester,Attendance,Assignment,Tutorial,Incourse,Final,GPA,Total_Marks,Risk_Status
Tashin Tuhin,3rd Year - Sem 1,24,10,16,38,51,4.0,115,Safe
Tashin Tuhin,2nd Year - Sem 1,20,6,12,25,38,3.0,81,Safe
Tashin Tuhin,2nd Year - Sem 1,23,9,17,37,59,4.0,122,Safe
Tashin Tuhin,3rd Year - Sem 1,12,6,14,21,38,3.0,79,Safe
Nadia Islam,2nd Year - Sem 2,7,3,4,9,27,0.0,43,High Risk
Rakib Hasan,3rd Year - Sem 1,9,4,9,19,19,0.0,51,High Risk
Nadia Islam,4th Year - Sem 2,24,9,19,40,56,4.0,124,Safe
Rakib Hasan,3rd Year - Sem 2,21,8,18,33,50,4.0,109,Safe
Ahad Ali,3rd Year - Sem 2,20,9,19,37,50,4.0,115,Safe
Shibay Yadav,1st Year - Sem 1,20,7,14,29,32,3.0,82,Safe
Rakib Hasan,4th Year - Sem 1,20,5,12,24,43,3.0,84,Safe
Rakib Hasan,4th Year - Sem 2,5,4,0,5,22,0.0,31,High Risk
Tashin Tuhin,4th Year - Sem 1,20,10,16,39,57,4.0,122,Safe
Nadia Islam,4th Year - Sem 1,14,7,10,24,41,3.0,82,Safe
Nadia Islam,2nd Year - Sem 2,3,1,5,9,28,0.0,43,High Risk
Rakib Hasan,3rd Year - Sem 2,23,9,17,32,55,4.0,113,Safe
Nadia Islam,2nd Year - Sem 1,16,8,13,22,38,3.0,81,Safe
Nadia Islam,3rd Year - Sem 1,10,5,3,15,10,0.0,33,High Risk
Ahad Ali,3rd Year - Sem 2,22,10,18,36,53,4.0,117,Safe
Karim Uddin,1st Year - Sem 2,13,6,11,26,36,3.0,79,Safe
Nadia Islam,3rd Year - Sem 2,9,1,9,20,24,2.0,54,High Risk
Nadia Islam,4th Year - Sem 1,24,8,15,35,58,4.0,116,Safe
Karim Uddin,1st Year - Sem 1,20,8,12,22,45,3.25,87,Safe
Rakib Hasan,2nd Year - Sem 1,21,10,15,39,48,4.0,112,Safe
Nadia Islam,2nd Year - Sem 2,20,10,18,37,58,4.0,123,Safe
Nadia Islam,4th Year - Sem 2,16,8,14,20,45,3.25,87,Safe
Shibay Yadav,3rd Year - Sem 2,16,5,15,22,39,3.0,81,Safe
Nadia Islam,1st Year - Sem 2,21,9,20,40,57,4.0,126,Safe
Tashin Tuhin,1st Year - Sem 1,21,8,17,34,51,4.0,110,Safe
Nadia Islam,4th Year - Sem 1,23,10,16,30,48,4.0,104,Safe
Karim Uddin,1st Year - Sem 1,20,10,18,30,56,4.0,114,Safe
Shibay Yadav,1st Year - Sem 1,20,9,20,32,56,4.0,117,Safe
Karim Uddin,3rd Year - Sem 2,13,8,10,24,43,3.25,85,Safe
Nadia Islam,1st Year - Sem 1,23,9,18,33,48,4.0,108,Safe
Rakib Hasan,2nd Year - Sem 2,12,7,14,29,30,3.0,80,Safe
Nadia Islam,3rd Year - Sem 1,4,4,4,14,2,0.0,24,High Risk
Karim Uddin,3rd Year - Sem 1,13,5,11,28,38,3.0,82,Safe
Nadia Islam,3rd Year - Sem 2,3,2,2,20,26,0.0,50,High Risk
Nadia Islam,4th Year - Sem 2,23,10,15,32,59,4.0,116,Safe
Karim Uddin,3rd Year - Sem 1,23,9,18,32,46,4.0,105,Safe
Nadia Islam,3rd Year - Sem 1,16,6,10,20,35,2.5,71,Medium Risk
Shibay Yadav,1st Year - Sem 1,20,10,20,39,46,4.0,115,Safe
Ahad Ali,4th Year - Sem 2,16,6,14,28,34,3.0,82,Safe
Shibay Yadav,3rd Year - Sem 1,4,0,4,10,8,0.0,22,High Risk
Tashin Tuhin,1st Year - Sem 2,21,10,15,33,56,4.0,114,Safe
Rakib Hasan,4th Year - Sem 2,19,5,13,26,38,3.0,82,Safe
Karim Uddin,2nd Year - Sem 1,15,6,15,23,34,3.0,78,Safe
Rakib Hasan,4th Year - Sem 2,13,6,14,28,32,3.0,80,Safe
Nadia Islam,2nd Year - Sem 2,21,9,19,39,56,4.0,123,Safe
Rakib Hasan,4th Year - Sem 2,19,5,15,25,37,3.0,82,Safe
Ahad Ali,4th Year - Sem 2,21,10,18,35,54,4.0,117,Safe
Tashin Tuhin,4th Year - Sem 1,2,3,2,19,17,0.0,41,High Risk
Karim Uddin,1st Year - Sem 2,14,8,10,21,36,2.75,75,Medium Risk
Ahad Ali,2nd Year - Sem 1,6,5,1,5,9,0.0,20,High Risk
Tashin Tuhin,4th Year - Sem 2,19,7,10,28,37,3.0,82,Safe
Karim Uddin,4th Year - Sem 2,23,10,20,32,55,4.0,117,Safe
Ahad Ali,2nd Year - Sem 2,9,0,4,8,21,0.0,33,High Risk
Ahad Ali,1st Year - Sem 2,20,8,17,32,53,4.0,110,Safe
Ahad Ali,4th Year - Sem 2,23,8,17,39,49,4.0,113,Safe
Ahad Ali,3rd Year - Sem 2,3,5,9,16,28,2.0,58,High Risk
Nadia Islam,2nd Year - Sem 2,24,9,20,35,45,4.0,109,Safe
Nadia Islam,4th Year - Sem 1,8,1,8,1,20,0.0,30,High Risk
Karim Uddin,4th Year - Sem 2,2,2,7,8,7,0.0,24,High Risk
Shibay Yadav,1st Year - Sem 1,13,6,14,22,45,3.25,87,Safe
Nadia Islam,3rd Year - Sem 1,22,8,17,30,52,4.0,107,Safe
Ahad Ali,2nd Year - Sem 1,13,8,14,25,30,2.75,77,Medium Risk
Nadia Islam,4th Year - Sem 1,23,10,17,31,56,4.0,114,Safe
Rakib Hasan,2nd Year - Sem 1,16,8,13,22,39,3.0,82,Safe
Shibay Yadav,1st Year - Sem 2,2,3,7,5,6,0.0,21,High Risk
Tashin Tuhin,3rd Year - Sem 1,7,1,1,6,17,0.0,25,High Risk
Rakib Hasan,1st Year - Sem 1,21,8,15,38,48,4.0,109,Safe
Karim Uddin,3rd Year - Sem 1,13,6,14,28,36,3.0,84,Safe
Tashin Tuhin,2nd Year - Sem 1,13,7,10,20,33,2.5,70,Medium Risk
Shibay Yadav,3rd Year - Sem 2,4,3,10,8,1,0.0,22,High Risk
Ahad Ali,3rd Year - Sem 2,17,6,11,30,40,3.25,87,Safe
Nadia Islam,2nd Year - Sem 2,23,10,20,38,50,4.0,118,Safe
Karim Uddin,2nd Year - Sem 2,5,3,7,10,10,0.0,30,High Risk
Ahad Ali,2nd Year - Sem 2,10,0,8,19,4,0.0,31,High Risk
Karim Uddin,4th Year - Sem 1,13,8,13,23,30,2.75,74,Medium Risk
Nadia Islam,4th Year - Sem 1,11,0,3,5,20,0.0,28,High Risk
Karim Uddin,4th Year - Sem 1,14,7,14,24,40,3.25,85,Safe
Shibay Yadav,4th Year - Sem 1,17,5,12,24,40,3.0,81,Safe
Ahad Ali,2nd Year - Sem 1,13,8,12,23,34,2.75,77,Medium Risk
